study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score
4,41,7.7,3.2,2,43,46.01
18,45,7,1.3,1,57,67.14
20,41,6.8,7.4,8,83,88.46
19,57,8,1.1,2,84,87.33
5,53,8.8,4,1,78,55.87
12,78,5.3,1.4,7,98,92.56
13,45,6.8,8.5,9,76,81.54
3,42,7.3,8,1,59,45.96
13,57,6.3,8.5,2,77,66.27
9,84,8.7,6.8,9,51,78.75
8,50,6.3,3.4,10,58,76.08
2,54,8.1,8.2,6,64,51.61
19,96,7.6,2.9,7,80,100
15,49,5.3,3.2,8,98,91.86
19,67,8.5,4.6,3,47,76.36
3,88,4.2,2,10,50,75.04
14,78,4.3,4.4,7,97,92.48
18,95,8.7,7.1,1,98,98.5
11,47,5.5,2.4,0,63,63.31
6,72,8.6,8.8,4,94,76.23
5,63,7.8,5.9,8,30,57.5
16,41,4.6,4.3,4,60,62.97
19,100,4.4,7.6,1,98,95.77
5,82,6.4,5.9,4,97,81.85
14,53,8.6,7.8,3,69,69.76
12,68,8.5,5.1,3,58,64.67
1,77,6.8,6.3,0,39,40.7
2,54,4.3,1.3,5,39,47.13
9,82,6.4,5.9,9,90,88.5
16,91,6,1.8,10,85,100
14,69,8.3,1.5,10,42,80.24
11,91,8.3,3.2,3,98,91.19
14,51,5.4,3.2,1,86,77.33
18,46,4.3,10,0,41,55.18
8,50,6,5.3,6,37,50.38
1,64,5.3,8.1,7,66,56.64
18,82,7.6,2.4,4,57,91.44
19,87,6.7,7.7,0,36,66
17,98,8.3,2.4,8,40,95.38
3,78,4.3,8.8,6,45,56.86
19,55,6.9,1.4,1,83,86.42
19,73,5.6,3.3,10,70,97.03
13,48,7.4,3.7,5,39,57.39
20,76,9,1.7,3,94,99.48
12,96,4.3,3.2,4,50,72.02
18,85,5.5,9.9,10,97,99.84
18,59,8.7,1.9,2,63,75.28
4,87,6.8,3.5,9,56,77.22
7,83,7.2,3.4,7,62,81.55
2,45,7.2,8.5,0,30,24.39
5,80,8.9,2.5,7,100,93.55
18,40,4.6,9.5,2,99,71.45
12,77,6.8,4.9,0,69,66.49
2,97,5.8,7.1,10,43,64.55
18,96,8.4,9.8,2,60,84.06
6,96,6.1,2.6,5,82,85.15
8,57,4.8,7.3,6,34,55.81
8,52,8.1,5.1,4,59,58.7
7,65,5.6,8.8,4,74,64.77
13,83,8.9,5.8,0,44,67.25
9,51,6.9,9.9,0,43,42.99
12,86,7.9,4.9,8,44,77.9
19,52,5.3,7.4,0,96,83.97
18,83,7.6,7.7,10,55,91.54
3,100,7.3,4,5,45,65.9
10,72,5.5,4.7,6,67,75.55
7,66,7.3,4.4,2,68,61.83
1,59,5.4,4.9,9,71,65.61
15,83,5.1,5.3,2,40,61.88
20,61,4.5,9.6,3,69,71.95
7,49,4.1,3.2,7,39,54.93
19,52,7.6,4.5,6,61,79.49
1,97,7.8,7.9,1,84,59.64
17,69,4.3,3.2,1,88,77.71
15,82,6.7,6,5,86,91.79
17,67,8.2,5.9,2,90,85.99
8,93,7.2,7.9,8,92,91.91
9,68,4.4,3.6,4,72,67.62
18,45,4.7,3.1,2,57,62.76
14,61,6.7,4.7,3,83,78.06
19,100,7.5,8.7,9,78,100
12,59,7.8,8.7,6,98,88.78
18,91,7,3,3,64,86.58
1,64,5.7,7.1,6,51,54.93
5,79,6.7,9.2,9,33,54.1
14,48,8.3,2.6,4,78,78.29
15,60,5.7,8.9,4,83,74.47
3,70,4.1,5.9,5,58,57.02
2,88,4.2,3.2,0,49,43.3
16,82,4.6,9.5,7,62,83.92
6,78,7,7.7,1,50,56.98
4,77,4.1,3.8,10,78,78.33
7,44,7,8.5,3,43,47.57
10,94,7.4,8.2,9,35,71.15
14,82,5.9,5.6,5,31,70.57
16,46,6.2,4.3,7,49,72.87
17,81,5.4,8.3,8,91,97.51
19,57,5.6,3.2,1,65,79.05
8,88,6.3,6.5,6,73,71.8
11,51,6.4,4.2,4,73,68.09
20,84,8.4,6,8,54,89.31
14,71,6.8,3.2,7,92,95.29
1,45,5.5,4.6,3,69,50.92
12,70,6.8,4.1,8,72,84.18
15,57,5.5,3.1,3,70,70.28
18,100,7.8,2.7,3,91,98.98
19,88,6.6,3.5,1,54,76.27
12,51,5.5,7.4,2,65,54.9
2,75,5.5,9.5,10,92,72.88
1,76,5.4,5.3,5,53,59.47
9,100,8.3,2,1,81,80.96
19,80,7.4,2.4,9,68,97
8,47,6.8,4.7,9,58,73.52
13,68,8.5,3.7,9,84,94.06
20,43,7,7.7,3,57,68.03
3,50,5.2,6,2,30,32.54
20,70,5.5,3.1,4,88,89.85
8,99,5.3,8.1,9,55,75.91
